id_pohon,gps_lat,gps_long,status_akhir
pohon_113,-6.551419522776511,106.71656647086805,1
pohon_114,-6.550663076457427,106.71652856193278,1
pohon_115,-6.550215874494229,106.71649942999656,1
pohon_116,-6.551631171338824,106.71679246535858,1
pohon_117,-6.551590938516947,106.7168592306371,0
pohon_118,-6.55083536011236,106.71684120783948,1
pohon_119,-6.551478163319711,106.71700013629376,1
pohon_120,-6.55062372263357,106.71674878535988,1
pohon_121,-6.55045324398092,106.71631871514022,1
pohon_122,-6.55055425710381,106.71619671728776,1
pohon_123,-6.550601060972914,106.71612389243968,1
pohon_124,-6.550711639910406,106.716351646186,1
pohon_125,-6.5510822222046325,106.71655268566148,1
pohon_126,-6.5505828560847945,106.71652197170452,1
pohon_127,-6.551304623992388,106.71691790266232,1
pohon_128,-6.550796114370584,106.71675615861598,1
pohon_129,-6.550438761536949,106.71692804173034,1
pohon_130,-6.550169351721231,106.7165584541087,1
pohon_131,-6.551273658723781,106.71707943957372,1
pohon_132,-6.5507694109967325,106.71615019965483,1
pohon_133,-6.551674229707727,106.7168571762088,1
pohon_134,-6.550298862181989,106.71651772593628,1
pohon_135,-6.551505067568563,106.71686314765466,1
pohon_136,-6.551372167307489,106.71707416225031,1
pohon_137,-6.550202500205319,106.71685307955472,1
pohon_138,-6.5502286780267145,106.71692849304512,1
pohon_139,-6.55067986172492,106.71613515626932,1
pohon_140,-6.551232542315127,106.7169941499355,1
pohon_141,-6.55034764320322,106.71668772261664,1
pohon_142,-6.550540733399477,106.71659411072474,1
pohon_143,-6.550131939869499,106.71662125216116,1
pohon_144,-6.5501866329694245,106.71643055595514,1
pohon_145,-6.550580873296513,106.71682817356692,1
pohon_146,-6.551050772618329,106.71692428629248,1
pohon_147,-6.550809876143319,106.71622074962168,1
pohon_148,-6.550311162299343,106.71675192740982,1
pohon_149,-6.551052028918379,106.71662533337658,1
